<<<<<<< HEAD
0.344167,0.160446,985
0.363478,0.248539,801
0.196364,0.248309,1349
0.2,0.160296,1562
0.226957,0.1869,1600
0.204348,0.0895652,1606
0.196522,0.168726,1510
0.165,0.266804,959
0.138333,0.36195,822
0.150833,0.223267,1321
0.169091,0.122132,1263
0.172727,0.304627,1162
0.165,0.301,1406
0.16087,0.126548,1421
0.233333,0.157963,1248
0.231667,0.188433,1204
0.175833,0.194017,1000
0.216667,0.146775,683
0.292174,0.208317,1650
0.261667,0.195904,1927
0.1775,0.353242,1543
0.0591304,0.17197,981
0.0965217,0.2466,986
0.0973913,0.15833,1416
0.223478,0.129796,1985
0.2175,0.29385,506
0.195,0.113837,431
0.203478,0.1233,1167
0.196522,0.145365,1098
0.216522,0.0739826,1096
0.180833,0.187192,1501
0.192174,0.053213,1360
0.26,0.264308,1526
0.186957,0.277752,1550
0.211304,0.127839,1708
0.233333,0.161079,1005
0.285833,0.1418,1623
0.271667,0.0454083,1712
0.220833,0.36195,1530
0.134783,0.188839,1605
0.144348,0.221935,1538
0.189091,0.10855,1746
0.2225,0.203367,1472
0.316522,0.260883,1589
0.415,0.417908,1913
0.266087,0.291374,1815
0.318261,0.251791,2115
0.435833,0.230104,2475
0.521667,0.264925,2927
0.399167,0.507463,1635
0.285217,0.223235,1812
0.303333,0.307846,1107
0.182222,0.195683,1450
0.221739,0.094113,1917
0.295652,0.250496,1807
0.364348,0.346539,1461
0.2825,0.186571,1969
0.343478,0.125248,2402
0.407273,0.289686,1446
0.266667,0.216425,1851
0.335,0.307833,2134
0.198333,0.225754,1685
0.261667,0.203346,1944
0.384167,0.251871,2077
0.376522,0.343287,605
0.261739,0.341352,1872
0.2925,0.12065,2133
0.295833,0.22015,1891
0.389091,0.261877,623
0.316522,0.23297,1977
0.329167,0.220775,2132
0.384348,0.270604,2417
0.325217,0.136926,2046
0.317391,0.184309,2056
0.365217,0.203117,2192
0.415,0.209579,2744
0.54,0.231017,3239
0.4725,0.368167,3117
0.3325,0.207721,2471
0.430435,0.288783,2077
0.441667,0.22575,2703
0.346957,0.234261,2121
0.285,0.243787,1865
0.264167,0.230725,2210
0.265833,0.209571,2496
0.253043,0.1843,1693
0.264348,0.212204,2028
0.3025,0.226996,2425
0.3,0.172888,1536
0.268333,0.217646,1685
0.3,0.258708,2227
0.315,0.197146,2252
0.378333,0.182213,3249
0.573333,0.385571,3115
0.414167,0.388067,1795
0.390833,0.263063,2808
0.4375,0.162312,3141
0.335833,0.226992,1471
0.3425,0.133083,2455
0.426667,0.146767,2895
0.595652,0.324474,3348
0.5025,0.274879,2034
0.4125,0.250617,2162
0.4675,0.1107,3267
0.446667,0.226375,3126
0.430833,0.340808,795
0.456667,0.303496,3744
0.5125,0.163567,3429
0.505833,0.157971,3204
0.595,0.241925,3944
0.459167,0.325258,4189
0.336667,0.219521,1683
0.46,0.230725,4036
0.581667,0.192175,4191
0.606667,0.185333,4073
0.631667,0.3265,4400
0.62,0.3122,3872
0.6175,0.320908,4058
0.51,0.240063,4595
0.4725,0.235075,5312
0.451667,0.106354,3351
0.549167,0.183454,4401
0.616667,0.342667,4451
0.414167,0.328996,2633
0.459167,0.295392,4433
0.479167,0.228246,4608
0.52,0.16045,4714
0.528333,0.0746375,4333
0.5325,0.176,4362
0.5325,0.115671,4803
0.5425,0.120642,4182
0.535,0.189667,4864
0.5125,0.179725,4105
0.520833,0.13495,3409
0.5625,0.152979,4553
0.5775,0.126871,3958
0.561667,0.277354,4123
0.55,0.201492,3855
0.530833,0.108213,4575
0.536667,0.125013,4917
0.6025,0.12065,5805
0.604167,0.148008,4660
0.631667,0.233842,4274
0.66,0.207092,4492
0.660833,0.154233,4978
0.708333,0.199642,4677
0.681667,0.240679,4679
0.655833,0.230092,4758
0.6675,0.213938,4788
0.733333,0.131225,4098
0.775,0.111329,3982
0.764167,0.207092,3974
0.715,0.292287,4968
0.62,0.253121,5312
0.635,0.123142,5342
0.648333,0.138692,4906
0.678333,0.121896,4548
0.7075,0.187808,4833
0.775833,0.136817,4401
0.808333,0.149883,3915
0.755,0.140554,4586
0.725,0.15485,4966
0.6925,0.163567,4460
0.635,0.30535,5020
0.604167,0.269283,4891
0.626667,0.167912,5180
0.628333,0.206471,3767
0.649167,0.143029,4844
0.696667,0.119408,5119
0.699167,0.102,4744
0.635,0.155475,4010
0.680833,0.171025,4835
0.733333,0.172262,4507
0.728333,0.238804,4790
0.724167,0.222025,4991
0.695,0.209571,5202
0.68,0.0945333,5305
0.6825,0.107588,4708
0.744167,0.144283,4648
0.728333,0.261821,5225
0.696667,0.185312,5515
0.7225,0.102608,5362
0.738333,0.115062,5119
0.716667,0.228858,4649
0.726667,0.0814792,6043
0.746667,0.126258,4665
0.72,0.149883,4629
0.75,0.1592,4592
0.709167,0.225129,4040
0.733333,0.167912,5336
0.7475,0.183471,4881
0.7625,0.282337,4086
0.794167,0.200254,4258
0.746667,0.146133,4342
0.680833,0.240667,5084
0.663333,0.182833,5538
0.686667,0.208342,5923
0.719167,0.245033,5302
0.746667,0.215804,4458
0.776667,0.1306,4541
0.768333,0.113817,4332
